Label (Grouping),NAME,Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Census Tract 4001, Alameda County, California",4001,"3,038","2,645","1,870",144,2,538,11,80,393,363,33,21,130,0,146,5,9,0,4,2,0,0,6,6,1,25,8,1,0,0,0,1,8,2,1,0,0,0,0,1,0,1,0,0,0,2,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4002, Alameda County, California",4002,"2,001","1,716","1,421",40,3,207,4,41,285,256,20,19,107,0,98,3,0,0,0,1,0,0,1,4,3,27,3,2,1,4,1,0,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4003, Alameda County, California",4003,"5,504","4,772","3,413",561,26,554,27,191,732,663,68,32,255,3,244,17,14,1,20,0,0,0,2,7,0,63,6,15,0,1,3,0,8,9,14,0,0,0,0,5,0,0,1,1,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Census Tract 4004, Alameda County, California",4004,"4,112","3,595","2,765",289,12,399,8,122,517,477,53,32,213,6,142,12,8,0,4,3,0,2,0,2,0,34,8,4,0,5,4,1,5,5,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4005, Alameda County, California",4005,"3,644","3,086","1,957",625,24,307,5,168,558,496,59,36,160,3,178,16,9,0,9,0,0,13,7,6,0,54,5,4,0,14,11,0,15,0,3,0,0,0,1,0,1,0,0,0,0,0,8,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4006, Alameda County, California",4006,"1,788","1,519",838,437,11,125,2,106,269,242,34,26,57,0,82,5,3,10,19,3,1,0,2,0,0,27,11,7,1,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4007, Alameda County, California",4007,"4,508","3,939","1,948","1,221",30,417,10,313,569,501,67,39,150,9,154,30,18,1,23,1,0,3,1,5,0,56,10,6,0,7,2,0,19,6,2,1,0,0,3,0,0,0,0,0,0,0,10,4,0,1,0,1,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
"Census Tract 4008, Alameda County, California",4008,"3,917","3,479","1,606",995,25,581,20,252,438,386,58,28,91,11,144,20,14,2,9,0,0,1,4,4,0,38,14,5,0,1,4,0,3,5,2,0,0,1,0,1,1,0,1,0,0,0,9,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
"Census Tract 4009, Alameda County, California",4009,"2,514","2,135","1,071",639,13,247,4,161,379,335,75,21,78,3,113,4,8,0,24,2,0,5,2,0,0,39,4,11,0,8,2,0,9,1,0,0,0,0,2,1,0,0,0,1,0,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4010, Alameda County, California",4010,"6,097","5,335","2,354","1,869",51,588,33,440,762,659,89,59,155,2,224,39,34,7,27,3,0,13,7,0,0,89,24,9,2,7,3,0,25,5,8,1,0,0,0,2,1,0,0,0,0,2,13,0,0,9,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4011, Alameda County, California",4011,"4,966","4,367","2,382",950,57,647,20,311,599,533,62,22,146,14,223,11,14,0,13,1,1,6,12,8,0,65,3,20,0,3,10,0,15,8,0,0,1,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4012, Alameda County, California",4012,"2,989","2,597","1,773",293,11,362,21,137,392,350,42,19,123,4,126,3,1,2,12,0,0,3,7,8,0,41,5,13,0,0,1,0,7,4,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4013, Alameda County, California",4013,"5,887","5,278","2,250","1,243",73,"1,036",113,563,609,539,105,24,120,21,195,7,13,5,17,3,1,5,14,9,0,59,8,0,0,8,9,0,9,9,13,2,0,0,0,0,0,0,0,1,0,0,10,3,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4014, Alameda County, California",4014,"5,355","4,773","1,620","1,613",79,585,48,828,582,527,63,37,102,17,144,37,39,7,39,1,1,7,4,22,7,50,7,5,0,7,8,0,6,6,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4015, Alameda County, California",4015,"2,661","2,346",887,972,11,198,9,269,315,262,38,29,57,2,99,7,9,4,8,0,3,0,1,1,4,49,25,2,0,5,0,0,3,6,5,0,1,0,0,0,0,0,0,0,0,2,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4016, Alameda County, California",4016,"2,971","2,625",911,813,45,286,39,531,346,310,49,35,63,13,105,18,4,2,10,0,0,8,0,0,3,36,4,0,0,7,4,3,5,0,7,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4017, Alameda County, California",4017,"6,121","5,421","2,243","1,299",49,779,121,930,700,593,78,41,122,34,223,16,26,0,31,6,0,7,3,4,2,96,24,6,0,9,10,0,16,21,6,0,0,0,1,1,0,0,0,2,0,0,11,0,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4018, Alameda County, California",4018,"1,981","1,754",532,839,24,102,10,247,227,211,40,9,25,1,105,6,6,1,8,0,0,4,5,1,0,11,3,2,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4022, Alameda County, California",4022,"3,250","2,931",978,864,40,345,42,662,319,281,46,30,36,12,103,10,5,3,23,1,0,4,6,0,2,37,3,3,0,4,0,0,9,4,7,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4024, Alameda County, California",4024,"2,459","2,228",592,990,24,406,6,210,231,213,34,10,52,0,51,19,20,0,19,1,0,5,2,0,0,13,4,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4025, Alameda County, California",4025,"2,010","1,799",415,"1,025",9,205,10,135,211,200,35,5,72,1,30,29,7,0,6,0,0,4,5,4,2,9,3,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4026, Alameda County, California",4026,"1,226","1,140",231,331,6,508,4,60,86,77,15,7,17,2,18,5,5,1,3,0,0,0,2,2,0,7,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4027, Alameda County, California",4027,"1,827","1,641",436,749,13,183,17,243,186,156,25,12,24,0,55,2,15,5,7,3,0,2,5,1,0,21,4,1,0,5,1,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,9,3,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4028.01, Alameda County, California",4028.01,"2,941","2,684",774,"1,011",5,758,2,134,257,229,34,6,74,6,59,7,18,2,7,2,0,7,4,3,0,23,1,0,0,5,0,0,7,0,3,0,0,0,0,0,2,0,0,1,4,0,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4028.02, Alameda County, California",4028.02,"1,453","1,307",330,577,27,282,20,71,146,121,21,10,18,4,43,7,8,1,4,0,0,3,1,1,0,22,16,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4029, Alameda County, California",4029,"1,917","1,747",597,338,18,734,0,60,170,136,30,4,25,2,35,13,2,0,10,2,0,4,1,8,0,29,3,5,0,13,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4030, Alameda County, California",4030,"3,007","2,918",259,124,9,"2,474",7,45,89,71,6,3,29,0,19,1,6,0,2,0,0,0,4,0,1,18,6,0,0,1,3,0,1,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4031, Alameda County, California",4031,"1,690","1,548",488,242,3,739,8,68,142,122,15,8,47,1,34,2,5,0,6,0,0,0,0,4,0,19,0,2,0,3,0,1,5,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4033.01, Alameda County, California",4033.01,"1,999","1,890",198,223,1,"1,413",4,51,109,87,5,4,24,3,25,10,2,2,1,2,0,1,2,4,2,18,6,1,2,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0
"Census Tract 4033.02, Alameda County, California",4033.02,"3,220","2,830","1,364",420,13,848,20,165,390,340,60,19,117,6,107,4,11,0,6,1,0,2,2,5,0,43,4,3,0,11,0,0,12,0,10,0,0,0,0,0,2,0,0,0,0,1,7,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4034.01, Alameda County, California",4034.01,"3,031","2,738","1,258",457,14,823,17,169,293,258,42,22,62,2,94,6,9,0,3,2,0,9,4,3,0,26,5,5,1,4,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,9,1,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4034.02, Alameda County, California",4034.02,"1,524","1,347",513,321,14,404,4,91,177,152,23,7,30,3,50,6,6,0,17,0,0,8,0,2,0,20,5,8,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4035.01, Alameda County, California",4035.01,"5,880","5,258","2,231","1,346",34,"1,380",25,242,622,539,69,35,165,3,187,15,23,1,24,3,0,5,3,6,0,78,19,21,0,6,4,0,7,3,7,2,2,0,5,1,1,0,0,0,0,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4035.02, Alameda County, California",4035.02,"2,148","1,861","1,069",374,16,306,4,92,287,255,36,17,73,5,86,9,10,0,8,2,0,6,2,0,1,26,1,1,0,4,1,0,10,5,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4036, Alameda County, California",4036,"4,717","4,131","1,920","1,274",31,647,16,243,586,527,79,38,139,11,173,18,21,6,31,1,0,4,6,0,0,49,10,2,1,2,2,0,19,8,3,0,0,0,0,1,0,0,0,1,0,0,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4037.01, Alameda County, California",4037.01,"2,786","2,480","1,463",414,12,442,7,142,306,276,51,19,58,0,97,5,14,2,9,0,0,6,7,8,0,29,7,3,0,6,0,0,8,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4037.02, Alameda County, California",4037.02,"2,149","1,906","1,104",395,8,300,9,90,243,211,33,12,45,1,86,6,10,0,9,0,0,0,0,6,3,30,8,2,0,5,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4038, Alameda County, California",4038,"3,710","3,191","2,244",322,16,488,10,111,519,447,71,19,147,4,150,13,15,0,8,2,0,4,13,0,1,63,10,11,0,12,2,2,10,4,9,0,0,0,1,0,1,0,0,0,0,1,8,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Census Tract 4039, Alameda County, California",4039,"3,943","3,490","2,210",502,20,561,7,190,453,402,75,36,104,5,143,4,9,0,14,0,0,4,1,6,1,37,9,4,0,6,2,0,12,0,3,0,0,0,0,0,0,0,1,0,0,0,14,2,0,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4040, Alameda County, California",4040,"3,049","2,624","1,667",370,18,444,9,116,425,373,45,31,115,6,149,3,9,0,8,0,0,3,0,2,2,41,3,2,0,4,3,1,18,3,4,0,0,0,0,0,2,0,0,1,0,0,7,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0
